StartTime,EndTime,XX,XX,XX,XX
2010.4059497484,2010.4060177928,0.0000000000,0.0000000000,0.0016104218,0.7260517530
2010.4069477323,2010.4070233371,0.0000000000,0.0000000000,0.0009299395,-1.1555585310
2010.4088000508,2010.4088552424,0.0000000000,0.0000000000,0.0017767137,0.6764151549
2010.4098078633,2010.4098759077,0.0000000000,0.0000000000,0.0009526210,-1.0739196100
2010.4115694561,2010.4116526214,0.0000000000,0.0000000000,0.0016935484,0.6402958178
2010.4126884077,2010.4128018149,0.0000000000,0.0000000000,0.0010357863,-0.9529168503
2010.4143970770,2010.4144522686,0.0000000000,0.0000000000,0.0015952621,0.5183950338
2010.4171286799,2010.4171967242,0.0000000000,0.0000000000,0.0026764113,0.4571509770
2010.4184442041,2010.4185046879,0.0000000000,0.0000000000,0.0012474798,-0.6799083735
2010.4198958170,2010.4199661295,0.0000000000,0.0000000000,0.0013911290,0.3538335978
2010.4226425408,2010.4226954641,0.0000000000,0.0000000000,0.0026764113,0.2812602557
2010.4245175408,2010.4246007061,0.0000000000,0.0000000000,0.0018220766,-0.0203318034
2010.4256213714,2010.4256841234,0.0000000000,0.0000000000,0.0010206653,-0.1151951370
2010.4273171879,2010.4273549903,0.0000000000,0.0000000000,0.0016330645,0.0032509663
2010.4288595266,2010.4289502524,0.0000000000,0.0000000000,0.0015045363,-0.2968736664
2010.4308542619,2010.4309070586,1.0000000000,2.0000000000,0.0019040095,0.1242031141
2010.4328764117,2010.4329520166,0.0000000000,0.0000000000,0.0019693531,0.1401712773
2010.4359612825,2010.4360202625,1.0000000000,2.0000000000,0.0030092659,0.2206226747
2010.4386397686,2010.4387153734,0.0000000000,0.0000000000,0.0026195061,0.3536806050
2010.4396528734,2010.4397133573,0.0000000000,0.0000000000,0.0009375000,-0.7402245929
2010.4413408485,2010.4413941211,1.0000000000,2.0000000000,0.0016274912,0.5934480899
2010.4425090373,2010.4425680175,1.0000000000,2.0000000000,0.0011149162,-0.8230959622
2010.4442265981,2010.4442803463,1.0000000000,2.0000000000,0.0016585805,0.6548307173
2010.4453947868,2010.4454523403,1.0000000000,2.0000000000,0.0011144405,-0.8281960430
2010.4471132992,2010.4471836948,1.0000000000,2.0000000000,0.0016609589,0.6414689863
2010.4499396678,2010.4500001516,0.0000000000,0.0000000000,0.0027559730,0.6941118105
2010.4508469258,2010.4509074097,0.0000000000,0.0000000000,0.0008467742,-1.1240319494
2010.4526690024,2010.4527241940,0.0000000000,0.0000000000,0.0017615927,0.8655861667
2010.4536012101,2010.4536692545,0.0000000000,0.0000000000,0.0008770161,-1.1310532326
2010.4554384077,2010.4554988916,0.0000000000,0.0000000000,0.0017691532,0.8316223995
2010.4564061496,2010.4564968754,0.0000000000,0.0000000000,0.0009072581,-1.0421329253
2010.4582131053,2010.4582682968,0.0000000000,0.0000000000,0.0017162298,0.6621591299
2010.4592738412,2010.4593570065,0.0000000000,0.0000000000,0.0010055444,-0.8881817953
2010.4609673895,2010.4610203129,0.0000000000,0.0000000000,0.0016103831,0.3937635921
2010.4636101597,2010.4636681888,1.0000000000,2.0000000000,0.0025898468,0.1223915059
2010.4653619674,2010.4654199962,1.0000000000,2.0000000000,0.0016937786,-0.0915057025
2010.4664454910,2010.4665035197,1.0000000000,2.0000000000,0.0010254948,-0.1717354311
2010.4686253805,2010.4686753236,1.0000000000,2.0000000000,0.0021218608,0.4105100703
2010.4712617444,2010.4713146678,0.0000000000,0.0000000000,0.0025864208,0.4423598032
2010.4721312000,2010.4721841234,0.0000000000,0.0000000000,0.0008165323,-0.7027883706
2010.4739305952,2010.4739857867,0.0000000000,0.0000000000,0.0017464718,0.4548671920
2010.4749338852,2010.4750042808,1.0000000000,2.0000000000,0.0009480985,-0.8261356712
2010.4768745244,2010.4769154299,1.0000000000,2.0000000000,0.0018702436,0.5961977148
2010.4778591134,2010.4779190449,1.0000000000,2.0000000000,0.0009436836,-1.0779874693
2010.4797888129,2010.4798387556,1.0000000000,2.0000000000,0.0018697679,0.6390643584
2010.4808514079,2010.4809032534,1.0000000000,2.0000000000,0.0010126523,-1.1581547976
2010.4826221274,2010.4827052928,0.0000000000,0.0000000000,0.0017188740,0.6482435931
2010.4837637605,2010.4838469258,0.0000000000,0.0000000000,0.0010584677,-1.0445600792
2010.4855026718,2010.4855729843,0.0000000000,0.0000000000,0.0016557460,0.5920728327
2010.4865785287,2010.4866465730,0.0000000000,0.0000000000,0.0010055444,-1.0038985234
2010.4883098795,2010.4883703633,0.0000000000,0.0000000000,0.0016633065,0.5557295599
2010.4910392141,2010.4911170871,0.0000000000,0.0000000000,0.0026688508,0.5397155625
2010.4920772686,2010.4921528734,0.0000000000,0.0000000000,0.0009601815,-0.9226586022
2010.4937708170,2010.4938388613,0.0000000000,0.0000000000,0.0016179435,0.4718416994
2010.4966286799,2010.4967141133,0.0000000000,0.0000000000,0.0027898185,0.2975779992
2010.4993073593,2010.4993678432,0.0000000000,0.0000000000,0.0025932460,0.2305770487
2010.5024942923,2010.5025385274,1.0000000000,2.0000000000,0.0031264492,-0.2009389986
2010.5039973364,2010.5040605975,1.0000000000,2.0000000000,0.0014588090,0.1277337355
2010.5052806318,2010.5053324773,1.0000000000,2.0000000000,0.0012200342,-0.3426206515
2010.5067340226,2010.5068096274,0.0000000000,0.0000000000,0.0014015453,0.0816579070
2010.5079890629,2010.5080366940,0.0000000000,0.0000000000,0.0011794355,-0.4474512947
2010.5094580649,2010.5095109883,0.0000000000,0.0000000000,0.0014213710,0.1295779685
2010.5123763318,2010.5124291285,1.0000000000,2.0000000000,0.0028653434,0.1854639943
2010.5135407153,2010.5135916096,1.0000000000,2.0000000000,0.0011115868,-0.6190776680
2010.5151117770,2010.5151602929,1.0000000000,2.0000000000,0.0015201674,0.3543257402
