start	end
2015-09-15 09:30:00	2015-09-15 09:44:00
2015-09-15 19:17:15	2015-09-15 20:02:30
2015-09-15 22:12:30	2015-09-16 18:41:45
2015-09-17 02:32:15	2015-09-17 03:29:45
2015-09-18 17:44:30	2015-09-18 17:55:15
2015-09-19 01:15:00	2015-09-19 01:55:30
2015-09-19 02:58:15	2015-09-19 14:33:00
2015-09-21 03:51:45	2015-09-21 20:39:30
2015-09-22 04:18:30	2015-09-22 17:56:45
2015-09-22 17:59:30	2015-09-22 18:05:15
2016-07-04 19:55:30	2016-07-06 01:14:45
2016-07-08 22:08:30	2016-07-09 23:23:00
2016-07-11 01:05:00	2016-07-11 04:27:15
2016-07-11 06:54:00	2016-07-11 13:19:45
2016-07-12 13:22:45	2016-07-14 16:47:30
2016-07-15 08:54:30	2016-07-17 20:45:30
2016-07-17 23:56:30	2016-07-18 01:44:30
2016-07-18 10:43:00	2016-07-18 14:11:15
2016-07-18 16:55:15	2016-07-18 17:46:45
2016-07-19 03:36:15	2016-08-09 21:00:15
2016-08-09 21:19:45	2016-08-09 21:58:00
2016-08-09 22:04:00	2016-08-09 22:09:00
2016-08-09 22:26:00	2016-08-09 22:28:30
2016-08-09 22:42:00	2016-08-09 23:20:15
2016-08-09 23:20:15	2016-08-10 02:47:30
2016-08-10 04:39:30	2016-08-10 13:09:15
2016-08-10 13:09:15	2016-08-10 13:14:15
2016-08-10 13:14:45	2016-08-10 13:19:45
2016-08-10 13:20:00	2016-08-10 13:23:00
2016-08-10 13:23:00	2016-08-10 13:24:45
2016-08-10 13:26:15	2016-08-10 13:33:45
2016-08-10 13:45:30	2016-08-10 13:48:00
2016-08-10 13:48:00	2016-08-10 13:51:45
2016-08-10 13:53:45	2016-08-10 13:58:15
2016-08-10 13:58:15	2016-08-10 14:00:00
2016-08-10 14:01:00	2016-08-10 14:02:45
2016-08-10 14:09:15	2016-08-10 14:11:30
2016-08-10 15:24:45	2016-08-10 15:41:30
2016-08-10 15:43:15	2016-08-10 15:46:15
2016-08-10 20:21:00	2016-08-12 05:10:30
2016-08-12 05:11:15	2016-08-12 05:32:00
2016-08-12 05:34:15	2016-08-12 06:21:00
2016-08-12 06:23:45	2016-08-12 06:33:45
2016-08-12 06:34:45	2016-08-12 06:41:00
2016-08-12 06:41:30	2016-08-12 06:47:30
2016-08-12 06:47:30	2016-08-12 06:53:00
2016-08-12 06:53:00	2016-08-12 08:02:00
2016-08-12 08:02:00	2016-08-12 08:15:30
2016-08-12 11:54:45	2016-08-12 12:01:15
2016-08-12 12:37:45	2016-08-12 12:39:30
2016-08-12 12:40:00	2016-08-12 12:56:30
2016-08-12 12:58:15	2016-08-12 13:34:15
2016-08-12 13:36:45	2016-08-12 13:49:30
2016-08-12 13:50:45	2016-08-12 14:11:15
2016-08-12 14:12:30	2016-08-12 14:20:45
2016-08-12 14:25:15	2016-08-12 14:32:45
2016-08-12 14:32:45	2016-08-12 14:47:45
2016-08-12 14:49:00	2016-08-12 14:57:45
2016-08-12 15:00:30	2016-08-12 15:48:45
2016-08-12 16:04:45	2016-08-12 16:22:30
2016-08-13 14:45:30	2016-08-13 14:49:00
2016-08-13 14:56:00	2016-08-13 15:00:15
2016-08-13 15:00:45	2016-08-13 15:01:45
2016-08-13 15:08:45	2016-08-13 15:09:15
2016-08-13 15:09:30	2016-08-13 15:13:00
2016-08-13 15:15:30	2016-08-13 15:19:00
2016-08-13 15:22:00	2016-08-13 15:25:45
2016-08-13 15:30:15	2016-08-13 15:33:45
2016-08-13 15:36:30	2016-08-13 15:38:45
2016-08-13 15:40:15	2016-08-13 15:43:45
2016-08-13 15:46:00	2016-08-13 15:49:30
2016-08-13 15:54:15	2016-08-13 15:55:15
2016-08-13 15:58:30	2016-08-13 16:02:30
2016-08-13 16:10:45	2016-08-13 16:15:30
2016-08-13 16:16:00	2016-08-13 16:21:30
2016-08-13 16:29:00	2016-08-13 16:30:30
2016-08-13 16:32:30	2016-08-13 16:38:15
2016-08-13 16:44:45	2016-08-13 16:50:00
2016-08-13 16:53:00	2016-08-13 16:59:00
2016-08-13 17:01:30	2016-08-13 17:03:30
2016-08-13 17:12:15	2016-08-13 17:19:30
2016-08-13 17:22:45	2016-08-13 17:30:45
2016-08-13 17:34:00	2016-08-13 17:40:15
2016-08-13 17:43:15	2016-08-13 17:49:00
2016-08-13 18:00:30	2016-08-13 18:04:00
2016-08-13 18:07:00	2016-08-13 18:12:00
2016-08-13 18:13:30	2016-08-13 18:18:30
2016-08-13 18:19:30	2016-08-13 18:28:15
2016-08-13 18:31:45	2016-08-13 18:42:45
2016-08-13 18:45:45	2016-08-14 00:00:00
2016-08-14 07:10:15	2016-08-18 03:05:00
2016-08-18 05:50:00	2016-08-18 06:25:15
2016-08-20 03:20:15	2016-08-20 10:41:45
2016-08-20 12:58:45	2016-08-28 09:50:00
2016-08-29 20:02:30	2016-09-03 09:20:45
2016-09-03 21:24:45	2016-09-05 22:54:00
2016-09-06 02:12:00	2016-09-06 21:15:30
2016-09-06 22:20:30	2016-09-07 17:20:00
2016-09-07 17:46:00	2016-09-07 18:00:45
2016-09-07 18:16:45	2016-09-07 18:25:45
2016-09-07 18:37:45	2016-09-07 18:42:45
2016-09-07 18:52:45	2016-09-07 18:58:15
2016-09-08 00:18:30	2016-09-08 03:24:15
2016-09-08 04:10:30	2016-09-08 21:49:30
2016-09-08 22:54:30	2016-09-08 22:59:30
2016-09-09 00:20:45	2016-09-09 20:11:00
2016-09-10 03:31:45	2016-09-10 19:57:30
2016-09-11 04:48:45	2016-09-11 15:06:15
2016-09-11 15:14:45	2016-09-11 18:56:30
2016-09-11 18:58:45	2016-09-11 19:00:45
2016-09-11 20:01:45	2016-09-11 20:22:45
2016-09-12 04:37:45	2016-09-12 19:00:15
2017-06-23 01:05:30	2017-06-25 18:45:30
2017-06-25 19:09:30	2017-06-27 13:54:30
2017-06-27 14:19:30	2017-06-27 15:43:45
2017-06-27 16:04:00	2017-06-27 17:36:30
2017-06-27 17:54:30	2017-06-27 19:39:30
2017-06-27 19:54:00	2017-06-28 06:22:15
2017-06-28 06:48:15	2017-06-29 03:04:30
2017-06-29 03:17:30	2017-06-29 03:52:15
2017-06-29 04:05:00	2017-06-29 04:28:45
2017-06-29 04:36:15	2017-06-29 04:50:00
2017-06-29 04:56:45	2017-06-29 05:03:45
2017-06-29 05:07:00	2017-06-29 05:13:15
2017-06-29 05:15:30	2017-06-29 05:20:00
2017-06-29 05:20:30	2017-06-29 05:26:00
2017-06-29 05:26:15	2017-06-29 05:31:45
2017-06-29 05:32:00	2017-06-29 05:50:30
2017-06-29 05:55:45	2017-06-29 06:10:30
2017-06-29 06:15:30	2017-06-29 06:31:15
2017-06-29 06:35:15	2017-06-29 06:54:45
